nature_id,nature_frlabel,count
http://www.wikidata.org/entity/Q484170,commune française,38669
http://www.wikidata.org/entity/Q16970,église,7967
http://www.wikidata.org/entity/Q79007,rue,5175
http://www.wikidata.org/entity/Q184188,canton français (jusqu'en mars 2015),5111
http://www.wikidata.org/entity/Q55488,gare ferroviaire,4051
http://www.wikidata.org/entity/Q23413,château fort,2935
http://www.wikidata.org/entity/Q423785,communauté de communes,2790
http://www.wikidata.org/entity/Q355304,cours d'eau,2531
http://www.wikidata.org/entity/Q751876,château,1886
http://www.wikidata.org/entity/Q39614,cimetière,1796
http://www.wikidata.org/entity/Q14750991,cimetière de la Commonwealth War Graves Commission,1349
http://www.wikidata.org/entity/Q83620,voie,1326
http://www.wikidata.org/entity/Q8502,montagne,1148
http://www.wikidata.org/entity/Q21869758,commune déléguée,1110
http://www.wikidata.org/entity/Q1426271,route nationale,1079
http://www.wikidata.org/entity/Q4022,rivière,1068
http://www.wikidata.org/entity/Q1365179,hôtel particulier,1056
http://www.wikidata.org/entity/Q3947,maison,1011
http://www.wikidata.org/entity/Q860861,sculpture,997
http://www.wikidata.org/entity/Q108325,chapelle,971
http://www.wikidata.org/entity/Q174782,place,951
http://www.wikidata.org/entity/Q160742,abbaye,875
http://www.wikidata.org/entity/Q33506,musée,866
http://www.wikidata.org/entity/Q7543083,avenue,809
http://www.wikidata.org/entity/Q728937,ligne de chemin de fer,743
http://www.wikidata.org/entity/Q2085381,maison d'édition,741
http://www.wikidata.org/entity/Q12280,pont,710
http://www.wikidata.org/entity/Q23397,lac,692
http://www.wikidata.org/entity/Q13406463,liste d'un projet Wikimédia,648
http://www.wikidata.org/entity/Q15620943,circonscription législative de la 5e République,645
http://www.wikidata.org/entity/Q1229713,district,558
http://www.wikidata.org/entity/Q23442,île,536
http://www.wikidata.org/entity/Q928830,station de métro,531
http://www.wikidata.org/entity/Q101659,dolmen,520
http://www.wikidata.org/entity/Q703941,route privée,501
http://www.wikidata.org/entity/Q22746,jardin public,495
http://www.wikidata.org/entity/Q19796778,route départementale,477
http://www.wikidata.org/entity/Q476028,club de football,446
http://www.wikidata.org/entity/Q486972,zone peuplée,439
http://www.wikidata.org/entity/Q483453,fontaine,416
http://www.wikidata.org/entity/Q1248784,aéroport,397
http://www.wikidata.org/entity/Q15081032,constructeur motocycle disparu,381
http://www.wikidata.org/entity/Q133056,col,375
http://www.wikidata.org/entity/Q839954,site archéologique,372
http://www.wikidata.org/entity/Q2511322,lycée,368
http://www.wikidata.org/entity/Q12731,impasse,364
http://www.wikidata.org/entity/Q194203,arrondissement français,356
http://www.wikidata.org/entity/Q13634881,passage,331
http://www.wikidata.org/entity/Q167346,jardin botanique,312
http://www.wikidata.org/entity/Q24354,théâtre,311
http://www.wikidata.org/entity/Q41176,bâtiment,310
http://www.wikidata.org/entity/Q11755959,immeuble,300
http://www.wikidata.org/entity/Q193475,menhir,295
http://www.wikidata.org/entity/Q2309609,croix de chemin,289
http://www.wikidata.org/entity/Q207694,musée d'art,284
http://www.wikidata.org/entity/Q17633526,article de Wikinews,283
http://www.wikidata.org/entity/Q178561,bataille,280
http://www.wikidata.org/entity/Q3914,école,277
http://www.wikidata.org/entity/Q62447,aérodrome,277
http://www.wikidata.org/entity/Q1479822,unité urbaine,271
http://www.wikidata.org/entity/Q19951362,nécropole nationale,262
http://www.wikidata.org/entity/Q959309,charbonnage,252
http://www.wikidata.org/entity/Q7278,parti politique,251
http://www.wikidata.org/entity/Q12518,tour,245
http://www.wikidata.org/entity/Q15991290,ligue sportive professionnelle,244
http://www.wikidata.org/entity/Q16917,hôpital,241
http://www.wikidata.org/entity/Q159321,communauté d'agglomération,231
http://www.wikidata.org/entity/Q18131152,étape,230
http://www.wikidata.org/entity/Q879050,manoir,229
http://www.wikidata.org/entity/Q82117,porte de ville,226
http://www.wikidata.org/entity/Q39715,phare,225
http://www.wikidata.org/entity/Q1785071,fort,221
http://www.wikidata.org/entity/Q3558430,villa,217
http://www.wikidata.org/entity/Q18340514,article wikipedia chronologique,205
http://www.wikidata.org/entity/Q2977,cathédrale,196
http://www.wikidata.org/entity/Q543654,mairie,196
http://www.wikidata.org/entity/Q43229,organisation,188
http://www.wikidata.org/entity/Q1539532,saison sportive,188
http://www.wikidata.org/entity/Q34442,route,187
http://www.wikidata.org/entity/Q4421,forêt,186
http://www.wikidata.org/entity/Q207934,allée,185
http://www.wikidata.org/entity/Q2750108,prieuré,183
http://www.wikidata.org/entity/Q54114,boulevard,182
http://www.wikidata.org/entity/Q156362,domaine viticole,178
http://www.wikidata.org/entity/Q2026833,square,177
http://www.wikidata.org/entity/Q220505,festival de cinéma,175
http://www.wikidata.org/entity/Q3950,villa,172
http://www.wikidata.org/entity/Q3456602,autoroute française,171
http://www.wikidata.org/entity/Q1128397,couvent,170
http://www.wikidata.org/entity/Q19656847,réserve naturelle nationale,168
http://www.wikidata.org/entity/Q572995,région naturelle de France,167
http://www.wikidata.org/entity/Q2924561,bretelle,167
http://www.wikidata.org/entity/Q6465,département français,166
http://www.wikidata.org/entity/Q15089606,réserve naturelle régionale,165
http://www.wikidata.org/entity/Q1241568,cimetière militaire,164
http://www.wikidata.org/entity/Q18821702,ancienne commune de France,159
http://www.wikidata.org/entity/Q618123,entité spatiale,158
http://www.wikidata.org/entity/Q35509,grotte,157
http://www.wikidata.org/entity/Q2275045,musée de France,155
http://www.wikidata.org/entity/Q3917681,ambassade,149
http://www.wikidata.org/entity/Q18524218,canton français (à partir de mars 2015),148
http://www.wikidata.org/entity/Q13408009,loi française,147
http://www.wikidata.org/entity/Q3918,université,139
http://www.wikidata.org/entity/Q123705,quartier,139
http://www.wikidata.org/entity/Q162602,île fluviale,138
http://www.wikidata.org/entity/Q1210334,pont ferroviaire,138
http://www.wikidata.org/entity/Q4830453,entreprise,137
http://www.wikidata.org/entity/Q11315,centre commercial,133
http://www.wikidata.org/entity/Q27686,hôtel,129
http://www.wikidata.org/entity/Q532,village,129
http://www.wikidata.org/entity/Q2772772,musée militaire,127
http://www.wikidata.org/entity/Q473972,aire protégée,119
http://www.wikidata.org/entity/Q44782,port,116
http://www.wikidata.org/entity/Q41253,salle de cinéma,116
http://www.wikidata.org/entity/Q12284,canal,115
http://www.wikidata.org/entity/Q12323,barrage,112
http://www.wikidata.org/entity/Q131596,ferme,112
http://www.wikidata.org/entity/Q14350,station de radio,110
http://www.wikidata.org/entity/Q1408475,maison forte,106
http://www.wikidata.org/entity/Q33881,Tour de France,104
http://www.wikidata.org/entity/Q15070223,cité,103
http://www.wikidata.org/entity/Q5004679,chemin,103
http://www.wikidata.org/entity/Q44613,monastère,102
http://www.wikidata.org/entity/Q43501,parc zoologique,100
http://www.wikidata.org/entity/Q193622,décoration,99
http://www.wikidata.org/entity/Q483110,stade,99
http://www.wikidata.org/entity/Q18536594,épreuve aux Jeux olympiques,98
http://www.wikidata.org/entity/Q212412,Coupe de France de football,98
http://www.wikidata.org/entity/Q575759,monument aux morts,98
http://www.wikidata.org/entity/Q428661,Unterseeboot,97
http://www.wikidata.org/entity/Q215380,groupe de musique,96
http://www.wikidata.org/entity/Q39594,baie,95
http://www.wikidata.org/entity/Q11513034,association loi 1901,95
http://www.wikidata.org/entity/Q3305213,peinture,95
http://www.wikidata.org/entity/Q1565828,appellation d'origine contrôlée,94
http://www.wikidata.org/entity/Q1244442,école,93
http://www.wikidata.org/entity/Q11707,restaurant,93
http://www.wikidata.org/entity/Q34627,synagogue,91
http://www.wikidata.org/entity/Q1502700,tour génoise,91
http://www.wikidata.org/entity/Q2989454,commune nouvelle,89
http://www.wikidata.org/entity/Q44494,moulin,87
http://www.wikidata.org/entity/Q15072800,croix de cimetière,87
http://www.wikidata.org/entity/Q83405,usine,86
http://www.wikidata.org/entity/Q57346,muraille,86
http://www.wikidata.org/entity/Q1428504,allée couverte,85
http://www.wikidata.org/entity/Q16560,palais,83
http://www.wikidata.org/entity/Q1154710,stade de football,83
http://www.wikidata.org/entity/Q5084,hameau,83
http://www.wikidata.org/entity/Q309250,cour,83
http://www.wikidata.org/entity/Q252916,quartier administratif de Paris,81
http://www.wikidata.org/entity/Q2903538,Billets de banque en franc français,78
http://www.wikidata.org/entity/Q40231,élection,76
http://www.wikidata.org/entity/Q182676,refuge de montagne,74
http://www.wikidata.org/entity/Q1076486,installation sportive,72
http://www.wikidata.org/entity/Q2080521,halle,72
http://www.wikidata.org/entity/Q371752,calvaire,72
http://www.wikidata.org/entity/Q1434544,commanderie,71
http://www.wikidata.org/entity/Q2945655,centre hospitalier (France),70
http://www.wikidata.org/entity/Q18142,immeuble de grande hauteur,70
http://www.wikidata.org/entity/Q811979,structure architecturale,69
http://www.wikidata.org/entity/Q724060,polissoir,69
http://www.wikidata.org/entity/Q3840711,quai,68
http://www.wikidata.org/entity/Q34038,chute d'eau,68
http://www.wikidata.org/entity/Q2519340,bâtiment administratif,68
http://www.wikidata.org/entity/Q1497364,complexe immobilier,66
http://www.wikidata.org/entity/Q131263,caserne,66
