nature_id,nature_frlabel,count
http://www.wikidata.org/entity/Q1758856,commune,669
http://www.wikidata.org/entity/Q486972,zone peuplée,231
http://www.wikidata.org/entity/Q2115792,cercle,50
http://www.wikidata.org/entity/Q178561,bataille,27
http://www.wikidata.org/entity/Q1248784,aéroport,23
http://www.wikidata.org/entity/Q23397,lac,22
http://www.wikidata.org/entity/Q4022,rivière,13
http://www.wikidata.org/entity/Q32815,mosquée,11
http://www.wikidata.org/entity/Q743074,région du Mali,8
http://www.wikidata.org/entity/Q2977,cathédrale,7
http://www.wikidata.org/entity/Q133346,frontière,7
http://www.wikidata.org/entity/Q15104814,frontière terrestre,7
http://www.wikidata.org/entity/Q618123,entité spatiale,6
http://www.wikidata.org/entity/Q515,ville,5
http://www.wikidata.org/entity/Q532,village,4
http://www.wikidata.org/entity/Q46169,parc national,4
http://www.wikidata.org/entity/Q8502,montagne,3
http://www.wikidata.org/entity/Q40231,élection,3
http://www.wikidata.org/entity/Q46831,chaîne de montagnes,3
http://www.wikidata.org/entity/Q12280,pont,3
http://www.wikidata.org/entity/Q618779,distinction,3
http://www.wikidata.org/entity/Q483110,stade,3
http://www.wikidata.org/entity/Q820477,mine,3
http://www.wikidata.org/entity/Q3957,bourg,2
http://www.wikidata.org/entity/Q7278,parti politique,2
http://www.wikidata.org/entity/Q41710,ethnie,2
http://www.wikidata.org/entity/Q473972,aire protégée,2
http://www.wikidata.org/entity/Q839954,site archéologique,2
http://www.wikidata.org/entity/Q82794,région géographique,2
http://www.wikidata.org/entity/Q15063568,établissement public à caractère scientifique et technologique,2
http://www.wikidata.org/entity/Q217327,attentat-suicide,2
http://www.wikidata.org/entity/Q3918,université,1
http://www.wikidata.org/entity/Q8142,devise,1
http://www.wikidata.org/entity/Q33506,musée,1
http://www.wikidata.org/entity/Q22806,bibliothèque nationale,1
http://www.wikidata.org/entity/Q45382,coup d'État,1
http://www.wikidata.org/entity/Q8514,désert,1
http://www.wikidata.org/entity/Q180684,conflit,1
http://www.wikidata.org/entity/Q381885,tombeau,1
http://www.wikidata.org/entity/Q140247,monocamérisme,1
http://www.wikidata.org/entity/Q269949,route publique,1
http://www.wikidata.org/entity/Q17431399,musée national,1
http://www.wikidata.org/entity/Q1154710,stade de football,1
http://www.wikidata.org/entity/Q772547,forces armées,1
http://www.wikidata.org/entity/Q1061151,massif,1
http://www.wikidata.org/entity/Q1549591,grande ville,1
http://www.wikidata.org/entity/Q12323,barrage,1
http://www.wikidata.org/entity/Q17524420,aspect de l'histoire,1
http://www.wikidata.org/entity/Q2472587,peuple,1
http://www.wikidata.org/entity/Q2072238,archidiocèse,1
http://www.wikidata.org/entity/Q15991159,bataille du Moyen Âge,1
http://www.wikidata.org/entity/Q4830453,entreprise,1
http://www.wikidata.org/entity/Q166620,bassin versant,1
http://www.wikidata.org/entity/Q123705,quartier,1
http://www.wikidata.org/entity/Q150784,gorge,1
http://www.wikidata.org/entity/Q187971,Oued,1
http://www.wikidata.org/entity/Q6256,pays,1
http://www.wikidata.org/entity/Q3917681,ambassade,1
http://www.wikidata.org/entity/Q123480,pays sans accès à la mer,1
http://www.wikidata.org/entity/Q124734,révolte,1
http://www.wikidata.org/entity/Q11303,gratte-ciel,1
http://www.wikidata.org/entity/Q319120,erg,1
http://www.wikidata.org/entity/Q215380,groupe de musique,1
http://www.wikidata.org/entity/Q15284,municipalité,1
http://www.wikidata.org/entity/Q383092,école d'art,1
http://www.wikidata.org/entity/Q37726,armée de terre,1
http://www.wikidata.org/entity/Q41176,bâtiment,1
http://www.wikidata.org/entity/Q42032,domaine de premier niveau national,1
http://www.wikidata.org/entity/Q44512,épidémie,1
http://www.wikidata.org/entity/Q61883,force aérienne,1
http://www.wikidata.org/entity/Q160016,État membre de l'Organisation des Nations unies,1
http://www.wikidata.org/entity/Q56061,entité territoriale administrative,1
http://www.wikidata.org/entity/Q166542,relations internationales,1
http://www.wikidata.org/entity/Q1059324,centre hospitalier universitaire,1
http://www.wikidata.org/entity/Q2385804,institution de formation,1
http://www.wikidata.org/entity/Q204310,gendarmerie,1
http://www.wikidata.org/entity/Q811979,structure architecturale,1
http://www.wikidata.org/entity/Q13406463,liste d'un projet Wikimédia,1
http://www.wikidata.org/entity/Q744913,accident aérien,1
http://www.wikidata.org/entity/Q1371150,Prise d'otage,1
http://www.wikidata.org/entity/Q4167836,page de catégorie d'un projet Wikimedia,1
http://www.wikidata.org/entity/Q3624078,État souverain,1
http://www.wikidata.org/entity/Q5710433,attentat,1
http://www.wikidata.org/entity/Q15221623,relation bilatérale,1
http://www.wikidata.org/entity/Q17633526,article de Wikinews,1
http://www.wikidata.org/entity/Q21480300,tir de masse,1
