commune_id,commune_frlabel,administrative_area_id,administrative_area_frlabel,country_id,country_frlabel,coord,lien_osm,date_creation,nom_officiel,superficie,population
http://www.wikidata.org/entity/Q3799,Porto-Novo,http://www.wikidata.org/entity/Q29169,Ouémé,http://www.wikidata.org/entity/Q962,Bénin,Point(6.4833333333333 2.6166666666667),,,,,
http://www.wikidata.org/entity/Q43595,Cotonou,http://www.wikidata.org/entity/Q29158,Littoral,http://www.wikidata.org/entity/Q962,Bénin,Point(6.3666666666667 2.4166666666667),,,,,
http://www.wikidata.org/entity/Q189685,Abomey,http://www.wikidata.org/entity/Q29172,Zou,http://www.wikidata.org/entity/Q962,Bénin,Point(7.1852777777778 1.9913888888889),,,,,
http://www.wikidata.org/entity/Q219058,Lokossa,http://www.wikidata.org/entity/Q29135,Mono,http://www.wikidata.org/entity/Q962,Bénin,Point(6.6333333333333 1.7166666666667),,,,,
http://www.wikidata.org/entity/Q269353,Pobè,http://www.wikidata.org/entity/Q32108,Plateau,http://www.wikidata.org/entity/Q962,Bénin,Point(6.9666666666667 2.6833333333333),,,,,
http://www.wikidata.org/entity/Q371196,Péhunco,http://www.wikidata.org/entity/Q29154,Atacora,http://www.wikidata.org/entity/Q962,Bénin,Point(10.228333 2.001944),,,,,
http://www.wikidata.org/entity/Q527734,Agbangnizoun,http://www.wikidata.org/entity/Q29172,Zou,http://www.wikidata.org/entity/Q962,Bénin,Point(7.066667 1.966667),,,,,
http://www.wikidata.org/entity/Q544623,Savalou,http://www.wikidata.org/entity/Q29141,Collines,http://www.wikidata.org/entity/Q962,Bénin,Point(7.930681 1.975356),,,,,
http://www.wikidata.org/entity/Q545022,Cobly,http://www.wikidata.org/entity/Q29154,Atacora,http://www.wikidata.org/entity/Q962,Bénin,Point(10.492222222222 0.99972222222222),,,,,
http://www.wikidata.org/entity/Q583110,Gogounou,http://www.wikidata.org/entity/Q29165,Alibori,http://www.wikidata.org/entity/Q962,Bénin,Point(10.838611 2.836111),,,,,
http://www.wikidata.org/entity/Q605293,Aguégués,http://www.wikidata.org/entity/Q29169,Ouémé,http://www.wikidata.org/entity/Q962,Bénin,Point(6.483333 2.533333),,,,,
http://www.wikidata.org/entity/Q688324,Parakou,http://www.wikidata.org/entity/Q29136,Borgou,http://www.wikidata.org/entity/Q962,Bénin,Point(9.35 2.6166666666667),,,,,
http://www.wikidata.org/entity/Q845666,Kandi,http://www.wikidata.org/entity/Q29165,Alibori,http://www.wikidata.org/entity/Q962,Bénin,Point(11.128611111111 2.9369444444444),,,,,
http://www.wikidata.org/entity/Q850031,Ouidah,http://www.wikidata.org/entity/Q29147,Atlantique,http://www.wikidata.org/entity/Q962,Bénin,Point(6.3666666666667 2.0833333333333),,,,,
http://www.wikidata.org/entity/Q868198,Djougou,http://www.wikidata.org/entity/Q29161,Donga,http://www.wikidata.org/entity/Q962,Bénin,Point(9.7 1.6666666666667),,,,,
http://www.wikidata.org/entity/Q959156,Sakété,http://www.wikidata.org/entity/Q32108,Plateau,http://www.wikidata.org/entity/Q962,Bénin,Point(6.7363888888889 2.6580555555556),,,,,
http://www.wikidata.org/entity/Q960239,Allada,http://www.wikidata.org/entity/Q29147,Atlantique,http://www.wikidata.org/entity/Q962,Bénin,Point(6.665 2.1522222222222),,,,,
http://www.wikidata.org/entity/Q986059,Copargo,http://www.wikidata.org/entity/Q29161,Donga,http://www.wikidata.org/entity/Q962,Bénin,Point(9.86666667 1.5),,,,,
http://www.wikidata.org/entity/Q994125,Natitingou,http://www.wikidata.org/entity/Q29154,Atacora,http://www.wikidata.org/entity/Q962,Bénin,Point(10.3 1.3666666666667),,,,,
http://www.wikidata.org/entity/Q1115202,N'Dali,http://www.wikidata.org/entity/Q29136,Borgou,http://www.wikidata.org/entity/Q962,Bénin,Point(9.8608333333333 2.7180555555556),,,,,
http://www.wikidata.org/entity/Q1118769,Sô-Ava,http://www.wikidata.org/entity/Q29147,Atlantique,http://www.wikidata.org/entity/Q962,Bénin,Point(6.466667 2.416667),,,,,
http://www.wikidata.org/entity/Q1125581,Ouaké,http://www.wikidata.org/entity/Q29161,Donga,http://www.wikidata.org/entity/Q962,Bénin,Point(9.66166667 1.38472222),,,,,
http://www.wikidata.org/entity/Q1133661,Ouèssè,http://www.wikidata.org/entity/Q29141,Collines,http://www.wikidata.org/entity/Q962,Bénin,Point(8.483333 2.433333),,,,,
http://www.wikidata.org/entity/Q1133694,Bantè,http://www.wikidata.org/entity/Q29141,Collines,http://www.wikidata.org/entity/Q962,Bénin,Point(8.4166666666667 1.8833333333333),,,,,
http://www.wikidata.org/entity/Q1133856,Djidja,http://www.wikidata.org/entity/Q29172,Zou,http://www.wikidata.org/entity/Q962,Bénin,Point(7.344444 1.933333),,,,,
http://www.wikidata.org/entity/Q1133867,Adja-Ouèrè,http://www.wikidata.org/entity/Q32108,Plateau,http://www.wikidata.org/entity/Q962,Bénin,Point(7 2.616667),,,,,
http://www.wikidata.org/entity/Q1134264,Ifangni,http://www.wikidata.org/entity/Q32108,Plateau,http://www.wikidata.org/entity/Q962,Bénin,Point(6.666667 2.666667),,,,,
http://www.wikidata.org/entity/Q1134277,Ouinhi,http://www.wikidata.org/entity/Q29172,Zou,http://www.wikidata.org/entity/Q962,Bénin,Point(7.083319 2.483361),,,,,
http://www.wikidata.org/entity/Q1134538,Adjohoun,http://www.wikidata.org/entity/Q29169,Ouémé,http://www.wikidata.org/entity/Q962,Bénin,Point(6.7 2.4666666666667),,,,,
http://www.wikidata.org/entity/Q1134963,Tori-Bossito,http://www.wikidata.org/entity/Q29147,Atlantique,http://www.wikidata.org/entity/Q962,Bénin,Point(6.503056 2.145),,,,,
http://www.wikidata.org/entity/Q1134995,Bonou,http://www.wikidata.org/entity/Q29169,Ouémé,http://www.wikidata.org/entity/Q962,Bénin,Point(6.9 2.45),,,,,
http://www.wikidata.org/entity/Q1364580,Tchaourou,http://www.wikidata.org/entity/Q29136,Borgou,http://www.wikidata.org/entity/Q962,Bénin,Point(8.883333 2.6),,,,,
http://www.wikidata.org/entity/Q1542478,Grand-Popo,http://www.wikidata.org/entity/Q29135,Mono,http://www.wikidata.org/entity/Q962,Bénin,Point(6.2833333333333 1.8333333333333),,,,,
http://www.wikidata.org/entity/Q1857012,Sinendé,http://www.wikidata.org/entity/Q29136,Borgou,http://www.wikidata.org/entity/Q962,Bénin,Point(10.344722 2.379167),,,,,
http://www.wikidata.org/entity/Q1860831,Karimama,http://www.wikidata.org/entity/Q29165,Alibori,http://www.wikidata.org/entity/Q962,Bénin,Point(12.066667 3.183333),,,,,
http://www.wikidata.org/entity/Q1893077,Bassila,http://www.wikidata.org/entity/Q29161,Donga,http://www.wikidata.org/entity/Q962,Bénin,Point(9.0166666666667 1.6666666666667),,,,,
http://www.wikidata.org/entity/Q2050232,Zogbodomey,http://www.wikidata.org/entity/Q29172,Zou,http://www.wikidata.org/entity/Q962,Bénin,Point(7.083333 2.1),,,,,
http://www.wikidata.org/entity/Q2095710,Toffo,http://www.wikidata.org/entity/Q29147,Atlantique,http://www.wikidata.org/entity/Q962,Bénin,Point(6.85 2.083333),,,,,
http://www.wikidata.org/entity/Q2100355,Sèmè-Kpodji,http://www.wikidata.org/entity/Q29169,Ouémé,http://www.wikidata.org/entity/Q962,Bénin,Point(6.366667 2.616667),,,,,
http://www.wikidata.org/entity/Q2200458,Banikoara,http://www.wikidata.org/entity/Q29165,Alibori,http://www.wikidata.org/entity/Q962,Bénin,Point(11.3 2.4333333333333),,,,,
http://www.wikidata.org/entity/Q2202003,Segbana,http://www.wikidata.org/entity/Q29165,Alibori,http://www.wikidata.org/entity/Q962,Bénin,Point(10.927777777778 3.6944444444444),,,,,
http://www.wikidata.org/entity/Q2256918,Zè,http://www.wikidata.org/entity/Q29147,Atlantique,http://www.wikidata.org/entity/Q962,Bénin,Point(6.783333 2.3),,,,,
http://www.wikidata.org/entity/Q2269207,Kérou,http://www.wikidata.org/entity/Q29154,Atacora,http://www.wikidata.org/entity/Q962,Bénin,Point(10.825 2.1094444444444),,,,,
http://www.wikidata.org/entity/Q2269235,Boukoumbé,http://www.wikidata.org/entity/Q29154,Atacora,http://www.wikidata.org/entity/Q962,Bénin,Point(10.183333 1.1),,,,,
http://www.wikidata.org/entity/Q2269248,Tanguiéta,http://www.wikidata.org/entity/Q29154,Atacora,http://www.wikidata.org/entity/Q962,Bénin,Point(10.616667 1.266667),,,,,
http://www.wikidata.org/entity/Q2271297,Bembéréké,http://www.wikidata.org/entity/Q29136,Borgou,http://www.wikidata.org/entity/Q962,Bénin,Point(10.225 2.668056),,,,,
