nature_id,nature_frlabel,count
http://www.wikidata.org/entity/Q2679157,Commune ivoirienne,962
http://www.wikidata.org/entity/Q486972,zone peuplée,237
http://www.wikidata.org/entity/Q617807,Départements de la Côte d'Ivoire,77
http://www.wikidata.org/entity/Q515,ville,29
http://www.wikidata.org/entity/Q1248784,aéroport,27
http://www.wikidata.org/entity/Q851830,Régions de Côte d'Ivoire,19
http://www.wikidata.org/entity/Q4022,rivière,11
http://www.wikidata.org/entity/Q46169,parc national,8
http://www.wikidata.org/entity/Q40231,élection,6
http://www.wikidata.org/entity/Q2977,cathédrale,5
http://www.wikidata.org/entity/Q133346,frontière,5
http://www.wikidata.org/entity/Q15104814,frontière terrestre,5
http://www.wikidata.org/entity/Q483110,stade,4
http://www.wikidata.org/entity/Q7278,parti politique,4
http://www.wikidata.org/entity/Q23397,lac,3
http://www.wikidata.org/entity/Q12280,pont,3
http://www.wikidata.org/entity/Q858439,élection présidentielle,3
http://www.wikidata.org/entity/Q473972,aire protégée,3
http://www.wikidata.org/entity/Q2511322,lycée,2
http://www.wikidata.org/entity/Q3089219,frontière maritime,2
http://www.wikidata.org/entity/Q18142,immeuble de grande hauteur,2
http://www.wikidata.org/entity/Q3918,université,2
http://www.wikidata.org/entity/Q476028,club de football,2
http://www.wikidata.org/entity/Q1549591,grande ville,2
http://www.wikidata.org/entity/Q4830453,entreprise,2
http://www.wikidata.org/entity/Q17524420,aspect de l'histoire,2
http://www.wikidata.org/entity/Q532,village,2
http://www.wikidata.org/entity/Q44782,port,2
http://www.wikidata.org/entity/Q1194951,équipe nationale,2
http://www.wikidata.org/entity/Q166620,bassin versant,1
http://www.wikidata.org/entity/Q11451,agriculture,1
http://www.wikidata.org/entity/Q7755,constitution,1
http://www.wikidata.org/entity/Q1968435,Cuisine nationale,1
http://www.wikidata.org/entity/Q27686,hôtel,1
http://www.wikidata.org/entity/Q879146,dénomination chrétienne,1
http://www.wikidata.org/entity/Q43229,organisation,1
http://www.wikidata.org/entity/Q3957,bourg,1
http://www.wikidata.org/entity/Q34442,route,1
http://www.wikidata.org/entity/Q187223,lagune,1
http://www.wikidata.org/entity/Q120560,basilique mineure,1
http://www.wikidata.org/entity/Q41710,ethnie,1
http://www.wikidata.org/entity/Q140247,monocamérisme,1
http://www.wikidata.org/entity/Q23442,île,1
http://www.wikidata.org/entity/Q1154710,stade de football,1
http://www.wikidata.org/entity/Q1244922,barrage en remblais,1
http://www.wikidata.org/entity/Q2264924,ville portuaire,1
http://www.wikidata.org/entity/Q3024240,État historique,1
http://www.wikidata.org/entity/Q8142,devise,1
http://www.wikidata.org/entity/Q8502,montagne,1
http://www.wikidata.org/entity/Q179049,réserve naturelle,1
http://www.wikidata.org/entity/Q772547,forces armées,1
http://www.wikidata.org/entity/Q1714375,domaine de chasse,1
http://www.wikidata.org/entity/Q55488,gare ferroviaire,1
http://www.wikidata.org/entity/Q1788820,ministère de la Défense,1
http://www.wikidata.org/entity/Q5119,capitale,1
http://www.wikidata.org/entity/Q4508,marine de guerre,1
http://www.wikidata.org/entity/Q6256,pays,1
http://www.wikidata.org/entity/Q37726,armée de terre,1
http://www.wikidata.org/entity/Q3002150,accident d'avion,1
http://www.wikidata.org/entity/Q42032,domaine de premier niveau national,1
http://www.wikidata.org/entity/Q383550,ministère des Affaires étrangères,1
http://www.wikidata.org/entity/Q204310,gendarmerie,1
http://www.wikidata.org/entity/Q160016,État membre de l'Organisation des Nations unies,1
http://www.wikidata.org/entity/Q14350,station de radio,1
http://www.wikidata.org/entity/Q61883,force aérienne,1
http://www.wikidata.org/entity/Q15284,municipalité,1
http://www.wikidata.org/entity/Q270791,entreprise publique,1
http://www.wikidata.org/entity/Q781132,Arme,1
http://www.wikidata.org/entity/Q1637706,ville de plus d'1 million d'habitants,1
http://www.wikidata.org/entity/Q3624078,État souverain,1
http://www.wikidata.org/entity/Q4167836,page de catégorie d'un projet Wikimedia,1
http://www.wikidata.org/entity/Q15221623,relation bilatérale,1
http://www.wikidata.org/entity/Q1365179,hôtel particulier,1
