nature_id,nature_frlabel,count
http://www.wikidata.org/entity/Q532,village,2759
http://www.wikidata.org/entity/Q486972,zone peuplée,1148
http://www.wikidata.org/entity/Q2566190,département du Burkina Faso,388
http://www.wikidata.org/entity/Q13406463,liste d'un projet Wikimédia,53
http://www.wikidata.org/entity/Q852151,province du Burkina Faso,45
http://www.wikidata.org/entity/Q1248784,aéroport,40
http://www.wikidata.org/entity/Q476028,club de football,21
http://www.wikidata.org/entity/Q515,ville,16
http://www.wikidata.org/entity/Q473972,aire protégée,16
http://www.wikidata.org/entity/Q867094,région du Burkina Faso,13
http://www.wikidata.org/entity/Q4022,rivière,12
http://www.wikidata.org/entity/Q2977,cathédrale,9
http://www.wikidata.org/entity/Q8502,montagne,8
http://www.wikidata.org/entity/Q3957,bourg,7
http://www.wikidata.org/entity/Q483110,stade,6
http://www.wikidata.org/entity/Q23397,lac,6
http://www.wikidata.org/entity/Q133346,frontière,6
http://www.wikidata.org/entity/Q15104814,frontière terrestre,6
http://www.wikidata.org/entity/Q55488,gare ferroviaire,5
http://www.wikidata.org/entity/Q46169,parc national,4
http://www.wikidata.org/entity/Q7278,parti politique,4
http://www.wikidata.org/entity/Q40231,élection,4
http://www.wikidata.org/entity/Q618123,entité spatiale,3
http://www.wikidata.org/entity/Q1194951,équipe nationale,3
http://www.wikidata.org/entity/Q820477,mine,3
http://www.wikidata.org/entity/Q490069,villes du Burkina Faso,2
http://www.wikidata.org/entity/Q3918,université,1
http://www.wikidata.org/entity/Q30059,arrondissement,1
http://www.wikidata.org/entity/Q33506,musée,1
http://www.wikidata.org/entity/Q8142,devise,1
http://www.wikidata.org/entity/Q140247,monocamérisme,1
http://www.wikidata.org/entity/Q131681,lac de barrage,1
http://www.wikidata.org/entity/Q3146899,diocèse catholique,1
http://www.wikidata.org/entity/Q170170,convention de Ramsar,1
http://www.wikidata.org/entity/Q15991303,ligue de football,1
http://www.wikidata.org/entity/Q269949,route publique,1
http://www.wikidata.org/entity/Q220505,festival de cinéma,1
http://www.wikidata.org/entity/Q1318941,course à étapes,1
http://www.wikidata.org/entity/Q1478437,compétition de football,1
http://www.wikidata.org/entity/Q811979,structure architecturale,1
http://www.wikidata.org/entity/Q15056993,famille d'avions,1
http://www.wikidata.org/entity/Q17524420,aspect de l'histoire,1
http://www.wikidata.org/entity/Q17431399,musée national,1
http://www.wikidata.org/entity/Q15284,municipalité,1
http://www.wikidata.org/entity/Q166620,bassin versant,1
http://www.wikidata.org/entity/Q204310,gendarmerie,1
http://www.wikidata.org/entity/Q772547,forces armées,1
http://www.wikidata.org/entity/Q1935049,école militaire,1
http://www.wikidata.org/entity/Q5119,capitale,1
http://www.wikidata.org/entity/Q6256,pays,1
http://www.wikidata.org/entity/Q123480,pays sans accès à la mer,1
http://www.wikidata.org/entity/Q42032,domaine de premier niveau national,1
http://www.wikidata.org/entity/Q160016,État membre de l'Organisation des Nations unies,1
http://www.wikidata.org/entity/Q909459,Antiterrorisme,1
http://www.wikidata.org/entity/Q1076105,élection législative,1
http://www.wikidata.org/entity/Q5710433,attentat,1
http://www.wikidata.org/entity/Q3624078,État souverain,1
http://www.wikidata.org/entity/Q21480300,tir de masse,1
http://www.wikidata.org/entity/Q22087662,prise d'otage,1
http://www.wikidata.org/entity/Q7930989,ville,1
http://www.wikidata.org/entity/Q18340514,article wikipedia chronologique,1
http://www.wikidata.org/entity/Q6979593,équipe nationale de football,1
http://www.wikidata.org/entity/Q82794,région géographique,1
http://www.wikidata.org/entity/Q22806,bibliothèque nationale,1
http://www.wikidata.org/entity/Q4830453,entreprise,1
http://www.wikidata.org/entity/Q37726,armée de terre,1
http://www.wikidata.org/entity/Q52371,régiment,1
http://www.wikidata.org/entity/Q383550,ministère des Affaires étrangères,1
http://www.wikidata.org/entity/Q124734,révolte,1
http://www.wikidata.org/entity/Q273120,Protestation,1
http://www.wikidata.org/entity/Q858439,élection présidentielle,1
http://www.wikidata.org/entity/Q690109,branche du service,1
http://www.wikidata.org/entity/Q4164871,fonction,1
http://www.wikidata.org/entity/Q5003624,mémorial,1
http://www.wikidata.org/entity/Q11755959,immeuble,1
http://www.wikidata.org/entity/Q15221623,relation bilatérale,1
http://www.wikidata.org/entity/Q4167836,page de catégorie d'un projet Wikimedia,1
http://www.wikidata.org/entity/Q11451,agriculture,1
http://www.wikidata.org/entity/Q620045,Nonciature apostolique,1
http://www.wikidata.org/entity/Q7210356,organisation politique,1
http://www.wikidata.org/entity/Q16659538,mine d'or,1
http://www.wikidata.org/entity/Q35535,police,1
http://www.wikidata.org/entity/Q61883,force aérienne,1
http://www.wikidata.org/entity/Q3257686,localité,1
